row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,,,39899,,1033,,
,,,,,,,,,,,,,,39905,,1035,,
,,,,,,,,,,,,,,40000,,1037,,
,,,,,,,,,,,,,,40194,,1038,,
,,,,,,,,,,,,,,40446,,1040,,
,,,,,,,,,,,,,,40460,,1042,,
,,,,,,,,,,,,,,40583,,1043,,
,,,,,,,,,,,,,,40656,,1045,,
,,,,,,,,,,,,,,40738,,1046,,
,,,,,,,,,,,,,,41119,,1048,,
,,,,,,,,,,,,,,41256,,1050,,
,,,,,,,,,,,,,,41359,,1052,,
,,,,,,,,,,,,,,41386,,1053,,
,,,,,,,,,,,,,,41762,,1054,,
,,,,,,,,,,,,,,42000,,1055,,
,,,,,,,,,,,,,,42139,,1056,,
,,,,,,,,,,,,,,42347,,1057,,
,,,,,,,,,,,,,,42354,,1058,,
,,,,,,,,,,,,,,42462,,1059,,
,,,,,,,,,,,,,,42500,,1060,,
,,,,,,,,,,,,,,42797,,1063,,
,,,,,,,,,,,,,,42821,,1064,,
,,,,,,,,,,,,,,42832,,1066,,
,,,,,,,,,,,,,,42900,,1067,,
,,,,,,,,,,,,,,43000,,1068,,
,,,,,,,,,,,,,,43037,,1069,,
,,,,,,,,,,,,,,43150,,1070,,
,,,,,,,,,,,,,,43206,,1072,,
,,,,,,,,,,,,,,43227,,1073,,
,,,,,,,,,,,,,,43248,,1074,,
,,,,,,,,,,,,,,43260,,1076,,
,,,,,,,,,,,,,,43296,,1077,,
,,,,,,,,,,,,,,43654,,1078,,
,,,,,,,,,,,,,,43707,,1079,,
,,,,,,,,,,,,,,43750,,1080,,
,,,,,,,,,,,,,,43752,,1081,,
,,,,,,,,,,,,,,43885,,1084,,
